
ng_id,gsp_id,gsp_name,region_name
316,296,ELST_1,Elstree
317,296,ELST_1,Elstree
318,296,ELST_1,Elstree
319,297,KEMS_1,Kemsley
320,297,KEMS_1,Kemsley
321,298,TILBB_1,Tilbury
322,298,TILBB_1,Tilbury
323,299,CARR_1,Carrington
324,299,CARR_1,Carrington
325,300,CONQA1,Connahs Quay
326,300,CONQA1,Connahs Quay
327,301,NECE_1,Nechells
328,301,NECE_1,Nechells
329,302,COAT,Coatbridge
330,302,COAT,Coatbridge
331,303,CROO,Crookston
332,303,CROO,Crookston
333,304,DUMF,Dumfries
334,304,DUMF,Dumfries
335,304,DUMF,Dumfries
336,305,GRMO,Grangemouth
337,305,GRMO,Grangemouth
338,306,KILB,Kilbowie
339,306,KILB,Kilbowie
340,307,SACO,Saltcoats
341,307,SACO,Saltcoats
342,,,
343,,,
344,,,
345,,,
346,308,CREB_1,Creyke Beck
347,309,SALT_1,Saltend North
348,310,LITT_C,Littlebrook (_C)
349,311,LITT_J,Littlebrook (_J)
350,312,STAH_1,Stanah
351,313,WISD_6,Willesden 66kV (_C)
352,314,ACTL_C,Willesden 66kV (_C)
353,315,ACTL_2,Willesden 66kV (_H)
354,316,CBNK_H,Willesden 66kV (_H)
355,317,GREE_H,Willesden 66kV (_H)
356,318,PERI_H,Willesden 66kV (_H)
357,319,AMEM_1,Amersham Main
358,320,LOUD_H,Loudwater
359,321,BRFO_1,Bramford
360,322,CANTN1,Canterbury
361,323,RICH1,Richborough
362,324,NORM_1,Norwich Main
363,325,WALP_1,Walpole (_A)
364,326,WALP_B,Walpole (_B)
365,327,STEN_1,Stella North
366,328,STES_1,Stella South
367,329,HARK_1,Harker
368,330,HEYS_1,Heysham
369,331,HEYS1,Heysham
370,332,CLAC_P,Clachan
371,333,ARDK_P,Ardkinglas
387,334,MELK_1,Melksham
373,,,
374,,,
375,,,
376,,,
377,335,KNAR,Knaresborough
378,336,WYLF_1,Wylfa
379,337,DALM3,Dalmarnock
380,338,FINN,Finnieston
